max,mean,min,std,sum,depto,year
{'LST_1KM': 308.2433766233766},{'LST_1KM': 303.3497674072942},{'LST_1KM': 300.0878787878788},{'LST_1KM': 1.069082532779857},{'LST_1KM': 71677.38641408508},HN11,2006
{'LST_1KM': 313.1107692307693},{'LST_1KM': 302.88557421955267},{'LST_1KM': 282.34888888888895},{'LST_1KM': 1.8621050653071707},{'LST_1KM': 71369.34357865114},HN11,2007
{'LST_1KM': 305.9},{'LST_1KM': 302.96943501785944},{'LST_1KM': 298.536},{'LST_1KM': 1.0569260278161634},{'LST_1KM': 71800.19175293836},HN11,2008
{'LST_1KM': 305.8790909090909},{'LST_1KM': 303.33777828600876},{'LST_1KM': 300.6422727272727},{'LST_1KM': 1.0480211993271022},{'LST_1KM': 71725.70462562033},HN11,2009
{'LST_1KM': 313.1424999999999},{'LST_1KM': 303.39275863999114},{'LST_1KM': 299.03599999999994},{'LST_1KM': 1.142596982471793},{'LST_1KM': 71225.91174895322},HN11,2010
{'LST_1KM': 308.8540740740741},{'LST_1KM': 303.37365764735557},{'LST_1KM': 300.5830769230769},{'LST_1KM': 1.2587989578260375},{'LST_1KM': 71769.87949503676},HN11,2011
{'LST_1KM': 338.53499999999997},{'LST_1KM': 302.50912552438376},{'LST_1KM': 299.00666666666666},{'LST_1KM': 2.847720299844692},{'LST_1KM': 71460.95962093266},HN11,2012
{'LST_1KM': 306.6914285714286},{'LST_1KM': 303.32749757298103},{'LST_1KM': 292.062962962963},{'LST_1KM': 1.5337855298983931},{'LST_1KM': 71787.50775893884},HN11,2013
{'LST_1KM': 307.0585714285714},{'LST_1KM': 303.55124937537806},{'LST_1KM': 300.51},{'LST_1KM': 1.1972112654202176},{'LST_1KM': 71621.42929379999},HN11,2014
{'LST_1KM': 315.94060606060606},{'LST_1KM': 303.45202559604934},{'LST_1KM': 298.8914285714286},{'LST_1KM': 1.437243414983949},{'LST_1KM': 71581.35781824925},HN11,2015
{'LST_1KM': 310.22386363636366},{'LST_1KM': 303.55102223266806},{'LST_1KM': 297.428},{'LST_1KM': 1.2229331801662031},{'LST_1KM': 71903.49959184254},HN11,2016
{'LST_1KM': 307.31269841269835},{'LST_1KM': 303.07875420426177},{'LST_1KM': 300.0933333333333},{'LST_1KM': 1.1979527045535512},{'LST_1KM': 71380.39506370724},HN11,2017
{'LST_1KM': 309.0971153846155},{'LST_1KM': 303.61120849918507},{'LST_1KM': 300.51230769230773},{'LST_1KM': 1.486981121492152},{'LST_1KM': 71739.16135569176},HN11,2018
{'LST_1KM': 308.8575384615384},{'LST_1KM': 304.5378698118632},{'LST_1KM': 297.09000000000003},{'LST_1KM': 1.5003769795741528},{'LST_1KM': 72159.94968538194},HN11,2019
{'LST_1KM': 307.93},{'LST_1KM': 304.44876213895225},{'LST_1KM': 300.5846153846154},{'LST_1KM': 1.170639762174565},{'LST_1KM': 71860.65311522117},HN11,2020
{'LST_1KM': 307.7096907216494},{'LST_1KM': 304.5432208200777},{'LST_1KM': 300.13272727272727},{'LST_1KM': 1.2094081542798365},{'LST_1KM': 72112.25182877298},HN11,2021
{'LST_1KM': 306.3323076923076},{'LST_1KM': 303.5234924641152},{'LST_1KM': 300.31142857142856},{'LST_1KM': 1.1285880083505964},{'LST_1KM': 71935.0677139953},HN11,2022
{'LST_1KM': 308.2622222222222},{'LST_1KM': 304.2785302592319},{'LST_1KM': 300.532},{'LST_1KM': 1.1949495864994668},{'LST_1KM': 71645.06476009726},HN11,2023
{'LST_1KM': 335.38514285714285},{'LST_1KM': 303.9420896279727},{'LST_1KM': 299.74249999999995},{'LST_1KM': 2.412846065399157},{'LST_1KM': 71812.5763058656},HN11,2024
{'LST_1KM': 303.46},{'LST_1KM': 300.6674011908377},{'LST_1KM': 292.88666666666666},{'LST_1KM': 1.2983281505622528},{'LST_1KM': 69626.31650086337},HN11,2025
{'LST_1KM': 320.1611940298508},{'LST_1KM': 305.0027235413983},{'LST_1KM': 293.0159090909092},{'LST_1KM': 3.215980581514123},{'LST_1KM': 1245031.8822979953},HN05,2000
{'LST_1KM': 320.4877669902912},{'LST_1KM': 304.5199231644659},{'LST_1KM': 292.6740000000001},{'LST_1KM': 3.2626774055474974},{'LST_1KM': 1243071.821881338},HN05,2001
{'LST_1KM': 323.27311827956976},{'LST_1KM': 304.6242192499729},{'LST_1KM': 292.81897435897434},{'LST_1KM': 3.265155209624215},{'LST_1KM': 1243433.05720626},HN05,2002
{'LST_1KM': 322.75245283018864},{'LST_1KM': 305.6294630230204},{'LST_1KM': 294.2581333333333},{'LST_1KM': 3.09143810905277},{'LST_1KM': 1247601.0419044178},HN05,2003
{'LST_1KM': 317.3444660194175},{'LST_1KM': 304.1940299550219},{'LST_1KM': 292.52033333333327},{'LST_1KM': 3.08334213564796},{'LST_1KM': 1241741.502796161},HN05,2004
{'LST_1KM': 324.41259259259266},{'LST_1KM': 304.8343313268062},{'LST_1KM': 293.2894545454544},{'LST_1KM': 3.168363902902487},{'LST_1KM': 1244355.2581935283},HN05,2005
{'LST_1KM': 326.94627906976734},{'LST_1KM': 304.2120235458007},{'LST_1KM': 292.1539130434783},{'LST_1KM': 3.127444577840171},{'LST_1KM': 1241750.532534164},HN05,2006
{'LST_1KM': 324.31883495145627},{'LST_1KM': 304.7375567265327},{'LST_1KM': 293.20451612903224},{'LST_1KM': 3.260460355109398},{'LST_1KM': 1243960.2174440636},HN05,2007
{'LST_1KM': 322.13020408163254},{'LST_1KM': 304.8656368971697},{'LST_1KM': 292.58406249999996},{'LST_1KM': 3.1404682345709185},{'LST_1KM': 1244483.049741557},HN05,2008
{'LST_1KM': 319.77159090909095},{'LST_1KM': 304.8836773115732},{'LST_1KM': 293.5531034482759},{'LST_1KM': 3.0738187819323697},{'LST_1KM': 1244556.6919865932},HN05,2009
{'LST_1KM': 329.1693975903615},{'LST_1KM': 304.85234885628967},{'LST_1KM': 293.4309090909091},{'LST_1KM': 3.2122665962769137},{'LST_1KM': 1244397.7240361162},HN05,2010
{'LST_1KM': 320.92876404494376},{'LST_1KM': 304.7857307607051},{'LST_1KM': 293.03155555555554},{'LST_1KM': 3.0960153505380377},{'LST_1KM': 1244092.324391444},HN05,2011
{'LST_1KM': 322.1412765957447},{'LST_1KM': 304.3625681927764},{'LST_1KM': 292.6944680851063},{'LST_1KM': 3.2943428360566145},{'LST_1KM': 1242429.4877794916},HN05,2012
{'LST_1KM': 322.57605263157905},{'LST_1KM': 304.8990729544071},{'LST_1KM': 293.6940350877193},{'LST_1KM': 2.969134804234937},{'LST_1KM': 1244619.5380873922},HN05,2013
{'LST_1KM': 315.94404761904764},{'LST_1KM': 304.86692744067307},{'LST_1KM': 292.8577272727273},{'LST_1KM': 3.2009824552633903},{'LST_1KM': 1244488.317831235},HN05,2014
{'LST_1KM': 326.45564102564117},{'LST_1KM': 305.69165189634515},{'LST_1KM': 292.8811999999999},{'LST_1KM': 3.5300676573155116},{'LST_1KM': 1247854.9012751323},HN05,2015
{'LST_1KM': 322.06090909090915},{'LST_1KM': 305.6114029031945},{'LST_1KM': 292.75919999999996},{'LST_1KM': 3.3359311368486146},{'LST_1KM': 1247527.3192204568},HN05,2016
{'LST_1KM': 321.90674698795186},{'LST_1KM': 305.2601841417905},{'LST_1KM': 293.188813559322},{'LST_1KM': 3.096070671076244},{'LST_1KM': 1246093.619444493},HN05,2017
{'LST_1KM': 323.0740000000002},{'LST_1KM': 305.12361486194675},{'LST_1KM': 292.79894736842107},{'LST_1KM': 3.190677874438343},{'LST_1KM': 1245471.5195914274},HN05,2018
{'LST_1KM': 319.14486956521745},{'LST_1KM': 306.686419810549},{'LST_1KM': 294.360634920635},{'LST_1KM': 3.3931006035635503},{'LST_1KM': 1251915.6141198243},HN05,2019
